,,,,,,,,,,,
,25/09/10,PRE,Hearts,0 - 2,Motherwell,View events,,,,,
,02/10/10,PRE,Hearts,1 - 2,Rangers,View events,,,,,
,23/10/10,PRE,Hearts,3 - 0,St. Mirren,View events,,,,,
,31/10/10,PRE,Hearts,0 - 3,Kilmarnock,View events,,,,,
,10/11/10,PRE,Hearts,2 - 0,Celtic,View events,,,,,
,20/11/10,PRE,Hearts,2 - 0,Hamilton Academical,View events,,,,,
,11/12/10,PRE,Hearts,5 - 0,Aberdeen,View events,,,,,
,18/12/10,PRE,Hearts,1 - 1,Inverness CT,View events,,,,,
,01/01/11,PRE,Hearts,1 - 0,Hibernian,View events,,,,,
,11/01/11,FAC,Hearts,0 - 1,St. Johnstone,View events,,,,,
,22/01/11,PRE,Hearts,1 - 0,Rangers,View events,,,,,
,29/01/11,PRE,Hearts,1 - 0,St. Johnstone,View events,,,,,
,19/02/11,PRE,Hearts,2 - 1,Dundee United,View events,,,,,
,05/03/11,PRE,Hearts,0 - 2,Kilmarnock,View events,,,,,
,19/03/11,PRE,Hearts,3 - 2,St. Mirren,View events,,,,,
,09/04/11,PRE,Hearts,0 - 0,Motherwell,,,,,,
,23/04/11,PRE,Hearts,3 - 3,Motherwell,View events,,,,,
,11/05/11,PRE,Hearts,0 - 3,Celtic,View events,,,,,
,17/07/11,CLF,Hearts,1 - 0,Antwerp,,,,,,
,31/07/11,PRE,Hearts,0 - 1,Dundee United,View events,,,,,
,04/08/11,UEL,Hearts,4 - 1,Paksi SE,View events,,,,,
,13/08/11,PRE,Hearts,3 - 0,Aberdeen,View events,,,,,
,18/08/11,UEL,Hearts,0 - 5,Tottenham Hotspur,View events,,,,,
,28/08/11,PRE,Hearts,2 - 0,Hibernian,View events,,,,,
,17/09/11,PRE,Hearts,2 - 0,St. Mirren,View events,,,,,
,02/10/11,PRE,Hearts,2 - 0,Celtic,View events,,,,,
,23/10/11,PRE,Hearts,0 - 2,Rangers,View events,,,,,
,29/10/11,PRE,Hearts,0 - 1,Kilmarnock,View events,,,,,
,26/11/11,PRE,Hearts,2 - 1,Inverness CT,View events,,,,,
,03/12/11,PRE,Hearts,1 - 2,St. Johnstone,View events,,,,,
,17/12/11,PRE,Hearts,4 - 0,Dunfermline Athletic,View events,,,,,
,24/12/11,PRE,Hearts,2 - 0,Motherwell,View events,,,,,
,07/01/12,FAC,Hearts,1 - 0,Auchinleck Talbot,View events,,,,,
,14/01/12,PRE,Hearts,5 - 2,St. Mirren,View events,,,,,
,05/02/12,FAC,Hearts,1 - 1,St. Johnstone,View events,,,,,
,08/02/12,PRE,Hearts,0 - 4,Celtic,View events,,,,,
,25/02/12,PRE,Hearts,0 - 2,Dundee United,View events,,,,,
,10/03/12,FAC,Hearts,2 - 2,St. Mirren,View events,,,,,
,18/03/12,PRE,Hearts,2 - 0,Hibernian,View events,,,,,
,31/03/12,PRE,Hearts,3 - 0,Aberdeen,View events,,,,,
,21/04/12,PRE,Hearts,0 - 3,Rangers,View events,,,,,
,01/05/12,PRE,Hearts,0 - 1,Motherwell,View events,,,,,
,06/05/12,PRE,Hearts,2 - 0,St. Johnstone,View events,,,,,
,04/08/12,PRE,Hearts,2 - 0,St. Johnstone,View events,,,,,
,18/08/12,PRE,Hearts,2 - 2,Inverness CT,View events,,,,,
,23/08/12,UEL,Hearts,0 - 1,Liverpool,View events,,,,,
,02/09/12,PRE,Hearts,0 - 1,Dundee,View events,,,,,
,25/09/12,LEC,Hearts,3 - 1,Livingston,View events,,,,,
,29/09/12,PRE,Hearts,1 - 3,Kilmarnock,View events,,,,,
,21/10/12,PRE,Hearts,1 - 0,Motherwell,,,,,,
,27/10/12,PRE,Hearts,2 - 2,Ross County,View events,,,,,
,17/11/12,PRE,Hearts,1 - 0,St. Mirren,View events,,,,,
,28/11/12,PRE,Hearts,0 - 4,Celtic,View events,,,,,
,08/12/12,PRE,Hearts,2 - 0,Aberdeen,View events,,,,,
,23/12/12,PRE,Hearts,2 - 1,Dundee United,View events,,,,,
,03/01/13,PRE,Hearts,0 - 0,Hibernian,,,,,,
,30/01/13,PRE,Hearts,1 - 0,Dundee,View events,,,,,
,16/02/13,PRE,Hearts,0 - 3,Kilmarnock,View events,,,,,
,23/02/13,PRE,Hearts,2 - 3,Inverness CT,View events,,,,,
,02/03/13,PRE,Hearts,1 - 2,Motherwell,View events,,,,,
,05/03/13,PRE,Hearts,2 - 0,St. Johnstone,View events,,,,,
,06/04/13,PRE,Hearts,4 - 2,Ross County,View events,,,,,
,04/05/13,PRE,Hearts,3 - 0,St. Mirren,View events,,,,,
,12/05/13,PRE,Hearts,1 - 2,Hibernian,View events,,,,,
,09/07/13,CLF,Hearts,1 - 5,Dinamo Bucureşti,,,,,,
,11/08/13,PRE,Hearts,1 - 0,Hibernian,View events,,,,,
,24/08/13,PRE,Hearts,2 - 1,Aberdeen,View events,,,,,
,14/09/13,PRE,Hearts,1 - 3,Celtic,View events,,,,,
,25/09/13,LEC,Hearts,P3 - 3,Queen of the South,View events,,,,,
,28/09/13,PRE,Hearts,0 - 0,Dundee United,,,,,,
,05/10/13,PRE,Hearts,0 - 2,St. Mirren,View events,,,,,
,02/11/13,PRE,Hearts,0 - 2,St. Johnstone,View events,,,,,
,23/11/13,PRE,Hearts,2 - 2,Ross County,View events,,,,,
,01/12/13,FAC,Hearts,0 - 7,Celtic,View events,,,,,
,14/12/13,PRE,Hearts,0 - 2,Inverness CT,View events,,,,,
,26/12/13,PRE,Hearts,0 - 4,Kilmarnock,View events,,,,,
,05/01/14,PRE,Hearts,0 - 2,Partick Thistle,View events,,,,,
,11/01/14,PRE,Hearts,0 - 1,Motherwell,View events,,,,,
,29/01/14,PRE,Hearts,2 - 1,St. Mirren,View events,,,,,
,02/02/14,LEC,Hearts,2 - 2P,Inverness CT,View events,,,,,
,22/02/14,PRE,Hearts,0 - 2,Celtic,View events,,,,,
,21/03/14,PRE,Hearts,1 - 2,Dundee United,View events,,,,,
,30/03/14,PRE,Hearts,2 - 0,Hibernian,View events,,,,,
,02/04/14,PRE,Hearts,1 - 1,Aberdeen,View events,,,,,
,19/04/14,PRE,Hearts,2 - 0,Ross County,View events,,,,,
,04/05/14,PRE,Hearts,5 - 0,Kilmarnock,View events,,,,,
,07/05/14,PRE,Hearts,2 - 4,Partick Thistle,View events,,,,,
