,,,,,,
,02/05/09,PRE,Hibernian,1 - 2,Dundee United,View events
,13/05/09,PRE,Hibernian,1 - 1,Rangers,View events
,17/05/09,PRE,Hibernian,0 - 0,Celtic,
,15/08/09,PRE,Hibernian,2 - 1,St. Mirren,View events
,26/08/09,LEC,Hibernian,3 - 0,Brechin City,View events
,30/08/09,PRE,Hibernian,0 - 1,Celtic,View events
,19/09/09,PRE,Hibernian,3 - 0,St. Johnstone,View events
,22/09/09,LEC,Hibernian,1 - 3,St. Johnstone,View events
,03/10/09,PRE,Hibernian,1 - 1,Dundee United,View events
,17/10/09,PRE,Hibernian,1 - 0,Kilmarnock,View events
,31/10/09,PRE,Hibernian,2 - 0,Aberdeen,View events
,28/11/09,PRE,Hibernian,2 - 0,Falkirk,View events
,05/12/09,PRE,Hibernian,2 - 0,Motherwell,View events
,27/12/09,PRE,Hibernian,1 - 4,Rangers,View events
,03/01/10,PRE,Hibernian,1 - 1,Hearts,View events
,09/01/10,FAC,Hibernian,3 - 0,Irvine Meadow,View events
,23/01/10,PRE,Hibernian,5 - 1,Hamilton Academical,View events
,30/01/10,PRE,Hibernian,2 - 1,St. Mirren,View events
,06/02/10,FAC,Hibernian,5 - 1,Montrose,View events
,10/02/10,PRE,Hibernian,2 - 2,Aberdeen,View events
,27/02/10,PRE,Hibernian,1 - 1,St. Johnstone,View events
,06/03/10,PRE,Hibernian,1 - 0,Kilmarnock,View events
,13/03/10,FAC,Hibernian,2 - 2,Ross County,View events
,31/03/10,PRE,Hibernian,2 - 4,Dundee United,View events
,04/04/10,PRE,Hibernian,0 - 1,Celtic,View events
,25/04/10,PRE,Hibernian,0 - 1,Rangers,View events
,01/05/10,PRE,Hibernian,1 - 2,Hearts,View events
,05/08/10,UEL,Hibernian,2 - 3,Maribor,View events
,22/08/10,PRE,Hibernian,0 - 3,Rangers,View events
,11/09/10,PRE,Hibernian,1 - 1,Inverness CT,View events
,18/09/10,PRE,Hibernian,1 - 1,Hamilton Academical,View events
,16/10/10,PRE,Hibernian,2 - 1,Kilmarnock,View events
,07/11/10,PRE,Hibernian,0 - 2,Hearts,View events
,13/11/10,PRE,Hibernian,2 - 1,Motherwell,View events
,27/11/10,PRE,Hibernian,0 - 0,St. Johnstone,
,26/12/10,PRE,Hibernian,1 - 2,Aberdeen,View events
,29/12/10,PRE,Hibernian,2 - 2,Dundee United,View events
,08/01/11,FAC,Hibernian,0 - 0,Ayr United,
,15/01/11,PRE,Hibernian,0 - 3,Celtic,View events
,26/01/11,PRE,Hibernian,0 - 2,Rangers,View events
,02/02/11,PRE,Hibernian,2 - 0,St. Mirren,View events
,12/02/11,PRE,Hibernian,2 - 1,Kilmarnock,View events
,26/02/11,PRE,Hibernian,2 - 0,Inverness CT,View events
,03/04/11,PRE,Hibernian,2 - 2,Hearts,View events
,17/04/11,PRE,Hibernian,1 - 2,Hamilton Academical,View events
,24/04/11,PRE,Hibernian,1 - 1,St. Mirren,View events
,30/04/11,PRE,Hibernian,1 - 2,St. Johnstone,View events
,14/05/11,PRE,Hibernian,1 - 3,Aberdeen,View events
,24/07/11,PRE,Hibernian,0 - 2,Celtic,View events
,06/08/11,CLF,Hibernian,0 - 0,Sunderland,
,20/08/11,PRE,Hibernian,1 - 2,St. Mirren,View events
,23/08/11,LEC,Hibernian,5 - 0,Berwick Rangers,View events
,11/09/11,PRE,Hibernian,0 - 0,Aberdeen,
,24/09/11,PRE,Hibernian,3 - 3,Dundee United,View events
,28/09/11,PRE,Hibernian,3 - 2,St. Johnstone,View events
,15/10/11,PRE,Hibernian,0 - 1,Motherwell,View events
,26/10/11,LEC,Hibernian,1 - 4,Celtic,View events
,05/11/11,PRE,Hibernian,0 - 1,Dunfermline Athletic,View events
,19/11/11,PRE,Hibernian,1 - 1,Kilmarnock,View events
,10/12/11,PRE,Hibernian,0 - 2,Rangers,View events
,28/12/11,PRE,Hibernian,1 - 1,Inverness CT,View events
,02/01/12,PRE,Hibernian,1 - 3,Hearts,View events
,21/01/12,PRE,Hibernian,2 - 3,St. Johnstone,View events
,04/02/12,FAC,Hibernian,1 - 0,Kilmarnock,View events
,11/02/12,PRE,Hibernian,0 - 0,Aberdeen,
,19/02/12,PRE,Hibernian,0 - 5,Celtic,View events
,03/03/12,PRE,Hibernian,0 - 0,St. Mirren,
,24/03/12,PRE,Hibernian,0 - 2,Dundee United,View events
,08/04/12,PRE,Hibernian,1 - 1,Motherwell,View events
,22/04/12,PRE,Hibernian,0 - 1,Kilmarnock,View events
,07/05/12,PRE,Hibernian,4 - 0,Dunfermline Athletic,View events
,19/05/12,FAC,Hibernian,1 - 5,Hearts,View events
,11/07/12,CLF,Hibernian,CANC,Rapid,
,28/07/12,CLF,Hibernian,2 - 2,Huddersfield Town,
,12/08/12,PRE,Hibernian,1 - 1,Hearts,View events
,25/08/12,PRE,Hibernian,2 - 0,St. Johnstone,View events
,15/09/12,PRE,Hibernian,2 - 1,Kilmarnock,View events
,22/09/12,PRE,Hibernian,2 - 2,Inverness CT,View events
,06/10/12,PRE,Hibernian,3 - 0,Dundee,View events
,03/11/12,PRE,Hibernian,2 - 1,St. Mirren,View events
,11/11/12,PRE,Hibernian,2 - 1,Dundee United,View events
,24/11/12,PRE,Hibernian,0 - 1,Aberdeen,View events
,02/12/12,FAC,Hibernian,1 - 0,Hearts,View events
,15/12/12,PRE,Hibernian,2 - 3,Motherwell,View events
,26/12/12,PRE,Hibernian,0 - 1,Ross County,View events
,29/12/12,PRE,Hibernian,1 - 0,Celtic,View events
,19/01/13,PRE,Hibernian,1 - 1,Dundee,View events
,03/02/13,FAC,Hibernian,1 - 0,Aberdeen,View events
,11/02/13,PRE,Hibernian,1 - 3,St. Johnstone,View events
,27/02/13,PRE,Hibernian,2 - 2,Kilmarnock,View events
,10/03/13,PRE,Hibernian,0 - 0,Hearts,
,30/03/13,PRE,Hibernian,1 - 2,Inverness CT,View events
,13/04/13,FAC,Hibernian,E4 - 3,Falkirk,View events
,22/04/13,PRE,Hibernian,0 - 0,Aberdeen,
,27/04/13,PRE,Hibernian,3 - 3,St. Mirren,View events
,18/05/13,PRE,Hibernian,1 - 0,Dundee,View events
,26/05/13,FAC,Hibernian,0 - 3,Celtic,View events
,06/07/13,CLF,Hibernian,1 - 2,Nottingham Forest,
,25/07/13,UEL,Hibernian,0 - 7,Malmö FF,View events
,04/08/13,PRE,Hibernian,0 - 1,Motherwell,
,17/08/13,PRE,Hibernian,1 - 1,Dundee United,View events
,31/08/13,PRE,Hibernian,0 - 0,Ross County,
,21/09/13,PRE,Hibernian,2 - 0,St. Mirren,View events
,24/09/13,LEC,Hibernian,5 - 3,Stranraer,View events
,19/10/13,PRE,Hibernian,1 - 1,Celtic,View events
,26/10/13,PRE,Hibernian,0 - 2,Aberdeen,View events
,30/10/13,LEC,Hibernian,0 - 1,Hearts,View events
,09/11/13,PRE,Hibernian,0 - 2,Inverness CT,View events
,07/12/13,PRE,Hibernian,1 - 1,Partick Thistle,View events
,21/12/13,PRE,Hibernian,0 - 0,St. Johnstone,View events
,29/12/13,PRE,Hibernian,3 - 0,Kilmarnock,View events
,02/01/14,PRE,Hibernian,2 - 1,Hearts,View events
,18/01/14,PRE,Hibernian,2 - 3,St. Mirren,View events
